web-scraper-order,web-scraper-start-url,links,links-href,title,author,rating,words,chapters,tags,tags-href,pages,pages-href
1670648128-3491,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Why Did I Write This?,https://archiveofourown.org/tags/Why%20Did%20I%20Write%20This*q*/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3492,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,I Don't Even Know,https://archiveofourown.org/tags/I%20Don't%20Even%20Know/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3493,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Crack,https://archiveofourown.org/tags/Crack/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3494,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Crack Relationships,https://archiveofourown.org/tags/Crack%20Relationships/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3495,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,crack smut,https://archiveofourown.org/tags/crack%20smut/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3496,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Duolingo - Freeform,https://archiveofourown.org/tags/Duolingo%20-%20Freeform/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3497,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Duolingo owl - Freeform,https://archiveofourown.org/tags/Duolingo%20owl%20-%20Freeform/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3498,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,duo - Freeform,https://archiveofourown.org/tags/duo%20-%20Freeform/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3499,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,WTF,https://archiveofourown.org/tags/WTF/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3500,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,The Author Regrets Nothing,https://archiveofourown.org/tags/The%20Author%20Regrets%20Nothing/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3501,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,The Author Regrets Everything,https://archiveofourown.org/tags/The%20Author%20Regrets%20Everything/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3502,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,y/n,https://archiveofourown.org/tags/y*s*n/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3503,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Self-Insert,https://archiveofourown.org/tags/Self-Insert/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3504,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,Not Serious,https://archiveofourown.org/tags/Not%20Serious/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3505,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,dont take this seriously,https://archiveofourown.org/tags/dont%20take%20this%20seriously/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3506,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,I Can't Believe I Wrote This,https://archiveofourown.org/tags/I%20Can't%20Believe%20I%20Wrote%20This/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648128-3507,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Daddy Duo,https://archiveofourown.org/works/29961222,Daddy Duo,bitchboybread,Mature,334,1-Jan,For Comedic Purposes Only,https://archiveofourown.org/tags/For%20Comedic%20Purposes%20Only/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3508,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,Boys Over Flowers (Korean TV series),https://archiveofourown.org/tags/Boys%20Over%20Flowers%20(Korean%20TV%20series)/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3509,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,Soeulmates,https://archiveofourown.org/tags/Soeulmates/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3510,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,Soeul - Freeform,https://archiveofourown.org/tags/Soeul%20-%20Freeform/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3511,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,Yi Jeong and Ga Eul belong together foreverrrrrrr,https://archiveofourown.org/tags/Yi%20Jeong%20and%20Ga%20Eul%20belong%20together%20foreverrrrrrr/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3512,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,YES SHE WILL BE YOUR ETERNAL FLOWER,https://archiveofourown.org/tags/YES%20SHE%20WILL%20BE%20YOUR%20ETERNAL%20FLOWER/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3513,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,what a silly question,https://archiveofourown.org/tags/what%20a%20silly%20question/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648138-3514,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Stupid Heart,https://archiveofourown.org/works/8168078,Stupid Heart,Sarea Okelani (sarea),Teen And Up Audiences,3839,1-Jan,Yi Jeong doesn't like sharing,https://archiveofourown.org/tags/Yi%20Jeong%20doesn't%20like%20sharing/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648149-3515,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Jihoo's tarot readings,https://archiveofourown.org/works/32395315,Jihoo's tarot readings,pinkcat4,Teen And Up Audiences,5983,8-Aug,Humor,https://archiveofourown.org/tags/Humor/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648149-3516,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Jihoo's tarot readings,https://archiveofourown.org/works/32395315,Jihoo's tarot readings,pinkcat4,Teen And Up Audiences,5983,8-Aug,Canon Compliant,https://archiveofourown.org/tags/Canon%20Compliant/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648149-3517,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Jihoo's tarot readings,https://archiveofourown.org/works/32395315,Jihoo's tarot readings,pinkcat4,Teen And Up Audiences,5983,8-Aug,Mostly Gen,https://archiveofourown.org/tags/Mostly%20Gen/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648149-3518,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,Jihoo's tarot readings,https://archiveofourown.org/works/32395315,Jihoo's tarot readings,pinkcat4,Teen And Up Audiences,5983,8-Aug,Jihoo has no idea what he is doing,https://archiveofourown.org/tags/Jihoo%20has%20no%20idea%20what%20he%20is%20doing/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648158-3519,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In For a Penny,https://archiveofourown.org/works/31549220,In For a Penny,queenmidalah,General Audiences,2279,1-Jan,Alternate Scene,https://archiveofourown.org/tags/Alternate%20Scene/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648158-3520,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In For a Penny,https://archiveofourown.org/works/31549220,In For a Penny,queenmidalah,General Audiences,2279,1-Jan,what if,https://archiveofourown.org/tags/what%20if/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3521,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,,,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3522,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Teen Romance,https://archiveofourown.org/tags/Teen%20Romance/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3523,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Fluff and Humor,https://archiveofourown.org/tags/Fluff%20and%20Humor/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3524,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Inspired by The Breakfast Club (1985),https://archiveofourown.org/tags/Inspired%20by%20The%20Breakfast%20Club%20(1985)/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3525,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Alternate Universe - High School,https://archiveofourown.org/tags/Alternate%20Universe%20-%20High%20School/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3526,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Inspired by To All The Boys I've Loved Before,https://archiveofourown.org/tags/Inspired%20by%20To%20All%20The%20Boys%20I've%20Loved%20Before/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3527,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,One Shot Collection,https://archiveofourown.org/tags/One%20Shot%20Collection/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3528,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,One True Pairing,https://archiveofourown.org/tags/One%20True%20Pairing/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3529,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Inspired by She's All That,https://archiveofourown.org/tags/Inspired%20by%20She's%20All%20That/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648169-3530,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,In Any Other World,https://archiveofourown.org/works/29197563,In Any Other World,JodiMarie2910,Teen And Up Audiences,3939,4-Apr,Inspired by A Cinderella Story (2005),https://archiveofourown.org/tags/Inspired%20by%20A%20Cinderella%20Story%20(2005)/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648178-3531,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Secret Caller,https://archiveofourown.org/works/24892627,The Secret Caller,drksacla,General Audiences,959,1-Jan,Long-Distance Relationship,https://archiveofourown.org/tags/Long-Distance%20Relationship/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648178-3532,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Secret Caller,https://archiveofourown.org/works/24892627,The Secret Caller,drksacla,General Audiences,959,1-Jan,Jealous Yi Jung,https://archiveofourown.org/tags/Jealous%20Yi%20Jung/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648178-3533,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Secret Caller,https://archiveofourown.org/works/24892627,The Secret Caller,drksacla,General Audiences,959,1-Jan,Woo Bin is the best bro,https://archiveofourown.org/tags/Woo%20Bin%20is%20the%20best%20bro/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648178-3534,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Secret Caller,https://archiveofourown.org/works/24892627,The Secret Caller,drksacla,General Audiences,959,1-Jan,Sort Of,https://archiveofourown.org/tags/Sort%20Of/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648189-3535,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Love that Ties Us (Resort & Spa),https://archiveofourown.org/works/29230368,The Love that Ties Us (Resort & Spa),TheWitchDucktor,Teen And Up Audiences,23350,14/14,Fake/Pretend Relationship,https://archiveofourown.org/tags/Fake*s*Pretend%20Relationship/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648189-3536,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Love that Ties Us (Resort & Spa),https://archiveofourown.org/works/29230368,The Love that Ties Us (Resort & Spa),TheWitchDucktor,Teen And Up Audiences,23350,14/14,Undercover Missions,https://archiveofourown.org/tags/Undercover%20Missions/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648189-3537,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Love that Ties Us (Resort & Spa),https://archiveofourown.org/works/29230368,The Love that Ties Us (Resort & Spa),TheWitchDucktor,Teen And Up Audiences,23350,14/14,Undercover as a Couple,https://archiveofourown.org/tags/Undercover%20as%20a%20Couple/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
1670648189-3538,https://archiveofourown.org/users/Pi_Cloud/readings?page=1,The Love that Ties Us (Resort & Spa),https://archiveofourown.org/works/29230368,The Love that Ties Us (Resort & Spa),TheWitchDucktor,Teen And Up Audiences,23350,14/14,Undercover as Married,https://archiveofourown.org/tags/Undercover%20as%20Married/works,9,https://archiveofourown.org/users/Pi_Cloud/readings?page=9
